test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,total_delay_C_obj_val,total_delay_B_obj_val,total_delay_A_obj_val,first_tier_rides_C_obj_val,first_tier_rides_B_obj_val,first_tier_rides_A_obj_val,fleet_capacity_obj_val,total_delay_C_obj_mip_gap,total_delay_B_obj_mip_gap,total_delay_A_obj_mip_gap,first_tier_rides_C_obj_mip_gap,first_tier_rides_B_obj_mip_gap,first_tier_rides_A_obj_mip_gap,fleet_capacity_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.9001083374023438,283,157,173,-1,-2,-7,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,24.714285714285715,78.5,283.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.8731098175048828,283,157,173,-1,-2,-7,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,24.714285714285715,78.5,283.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.8841114044189453,283,157,173,-1,-2,-7,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,24.714285714285715,78.5,283.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.8771152496337891,283,157,173,-1,-2,-7,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,24.714285714285715,78.5,283.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,613.0,613.0,173.0,157.0,283.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.9452400207519531,283,608,736,-1,-2,-7,20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,5,105.14285714285714,304.0,283.0,736.0,608.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,1627.0,736.0,608.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,1627.0,1627.0,736.0,608.0,283.0,0.0,0.0,0.0,0.0
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,30.0535831451416,853,303,205,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,41.0,151.0,284.3333333333333,205.0,302.0,853.0,0.0,0.5,0.0,0.0,1.0,0.0,10.0,5.0,2.0,3.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1361.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,28.22954559326172,853,303,205,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,41.0,151.0,284.3333333333333,205.0,302.0,853.0,0.0,0.5,0.0,0.0,1.0,0.0,10.0,5.0,2.0,3.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1361.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,15.496925354003906,853,303,205,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,41.0,151.0,284.3333333333333,205.0,302.0,853.0,0.0,0.5,0.0,0.0,1.0,0.0,10.0,5.0,2.0,3.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1361.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,6.161569595336914,853,303,205,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,41.0,151.0,284.3333333333333,205.0,302.0,853.0,0.0,0.5,0.0,0.0,1.0,0.0,10.0,5.0,2.0,3.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1361.0,1360.0,205.0,302.0,853.0,1.0,0.0,1.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,44.49640083312988,853,330,762,-3,-2,-5,16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,4,152.4,165.0,284.3333333333333,762.0,330.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1945.0,762.0,330.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1945.0,1945.0,762.0,330.0,853.0,0.0,0.0,0.0,0.0
