test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,fleet_capacity_obj_val,total_delay_obj_val,fleet_capacity_obj_mip_gap,total_delay_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels,slevels__manhattan-island-new-york-city-new-york-usa__015__BB__A-16_B-68_C-16__005__maxpcount_01,maxpcount_01,005,15,015_BB,4,15,60,BB,fleet_capacity__total_delay,18001.170751571655,36,9606,0.0001,0.0001,0,0,0,9,,288.61538461538464,548.5,0.0,3752.0,1097.0,,112.07692307692308,150.0,0.0,1457.0,300.0,12.0,0.0,10.0,2.0,3582.0,0.0,2485.0,1097.0,1411.0,0.0,1111.0,300.0,3.0,0.0,3.0,0.0,1267.0,0.0,1267.0,0.0,346.0,0.0,346.0,0.0,15.0,0.0,13.0,2.0,6606.0,4849.0,0.0,3752.0,1097.0,1757.0,0.0,1457.0,300.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__015__BB__A-16_B-68_C-16__005__maxpcount_01,maxpcount_01,005,15,015_BB,4,15,60,BB,fleet_capacity__total_delay,750.8377342224121,32,2584,0.0001,0.0001,0,0,0,8,,133.92307692307693,257.5,0.0,1741.0,515.0,,25.23076923076923,0.0,0.0,328.0,0.0,15.0,0.0,13.0,2.0,2256.0,0.0,1741.0,515.0,328.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,2.0,2584.0,2256.0,0.0,1741.0,515.0,328.0,0.0,328.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,1.3631649017333984,32,1922,0.0001,0.0001,0,0,0,8,102.5,223.33333333333334,205.33333333333334,410.0,670.0,616.0,0.0,75.33333333333333,0.0,0.0,226.0,0.0,9.0,4.0,2.0,3.0,1299.0,410.0,273.0,616.0,216.0,0.0,216.0,0.0,1.0,0.0,1.0,0.0,397.0,0.0,397.0,0.0,10.0,0.0,10.0,0.0,10.0,4.0,3.0,3.0,1922.0,1696.0,410.0,670.0,616.0,226.0,0.0,226.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.15101051330566406,36,1380,0.0001,0.0001,0,0,0,9,80.0,148.0,205.33333333333334,320.0,444.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,3.0,1380.0,320.0,444.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,3.0,1380.0,1380.0,320.0,444.0,616.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,8.287029266357422,24,3006,0.0001,0.0001,0,0,0,6,80.0,232.0,663.3333333333334,320.0,696.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,3.0,3006.0,320.0,696.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,3.0,3006.0,3006.0,320.0,696.0,1990.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.08000946044921875,36,1911,0.0001,0.0001,0,0,0,9,117.28571428571429,120.0,570.0,821.0,240.0,570.0,0.0,140.0,0.0,0.0,280.0,0.0,10.0,7.0,2.0,1.0,1631.0,821.0,240.0,570.0,280.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,1911.0,1631.0,821.0,240.0,570.0,280.0,0.0,280.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.04900550842285156,36,1911,0.0001,0.0001,0,0,0,9,117.28571428571429,120.0,570.0,821.0,240.0,570.0,0.0,140.0,0.0,0.0,280.0,0.0,10.0,7.0,2.0,1.0,1631.0,821.0,240.0,570.0,280.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,1911.0,1631.0,821.0,240.0,570.0,280.0,0.0,280.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.67608642578125,32,2014,0.0001,0.0001,0,0,0,8,110.71428571428571,576.5,86.0,775.0,1153.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,2014.0,775.0,1153.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,2014.0,2014.0,775.0,1153.0,86.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.49706268310546875,32,1537,0.0001,0.0001,0,0,0,8,73.83333333333333,94.0,453.0,443.0,188.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,1537.0,443.0,188.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,1537.0,1537.0,443.0,188.0,906.0,0.0,0.0,0.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.10000801086425781,32,1537,0.0001,0.0001,0,0,0,8,73.83333333333333,94.0,453.0,443.0,188.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,1537.0,443.0,188.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,1537.0,1537.0,443.0,188.0,906.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.7781028747558594,24,2664,0.0001,0.0001,0,0,0,6,73.83333333333333,555.0,555.5,443.0,1110.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,2664.0,443.0,1110.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,2664.0,2664.0,443.0,1110.0,1111.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.15301513671875,36,1482,0.0001,0.0001,0,0,0,9,156.25,100.0,132.0,1250.0,100.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,1.0,1202.0,970.0,100.0,132.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,1482.0,1482.0,1250.0,100.0,132.0,0.0,0.0,0.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.0550079345703125,36,1643,0.0001,0.0001,0,0,0,9,127.625,45.0,577.0,1021.0,45.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,1643.0,1021.0,45.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,1643.0,1643.0,1021.0,45.0,577.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.3330364227294922,32,1839,0.0001,0.0001,0,0,0,8,152.125,45.0,577.0,1217.0,45.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,1839.0,1217.0,45.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,1839.0,1839.0,1217.0,45.0,577.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.25603675842285156,28,1733,0.0001,0.0001,0,0,0,7,111.71428571428571,134.0,408.5,782.0,134.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,1733.0,782.0,134.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,1733.0,1733.0,782.0,134.0,817.0,0.0,0.0,0.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.07100868225097656,28,1733,0.0001,0.0001,0,0,0,7,111.71428571428571,134.0,408.5,782.0,134.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,1733.0,782.0,134.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,1733.0,1733.0,782.0,134.0,817.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,fleet_capacity__total_delay,0.31803321838378906,24,2153,0.0001,0.0001,0,0,0,6,140.42857142857142,134.0,518.0,983.0,134.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,2153.0,983.0,134.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,2153.0,2153.0,983.0,134.0,1036.0,0.0,0.0,0.0,0.0
