test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,total_delay_C_obj_val,total_delay_B_obj_val,total_delay_A_obj_val,first_tier_rides_C_obj_val,first_tier_rides_B_obj_val,first_tier_rides_A_obj_val,fleet_capacity_obj_val,total_delay_C_obj_mip_gap,total_delay_B_obj_mip_gap,total_delay_A_obj_mip_gap,first_tier_rides_C_obj_mip_gap,first_tier_rides_B_obj_mip_gap,first_tier_rides_A_obj_mip_gap,fleet_capacity_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.06782150268554688,117,0,1219,-1,0,-8,36,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,9,135.44444444444446,,117.0,1219.0,0.0,117.0,0.0,,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,1016.0,899.0,0.0,117.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,1336.0,1336.0,1219.0,0.0,117.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.05784797668457031,117,0,1219,-1,0,-8,36,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,9,135.44444444444446,,117.0,1219.0,0.0,117.0,0.0,,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,1016.0,899.0,0.0,117.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,1336.0,1336.0,1219.0,0.0,117.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.05424308776855469,117,0,1219,-1,0,-8,36,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,9,135.44444444444446,,117.0,1219.0,0.0,117.0,0.0,,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,1016.0,899.0,0.0,117.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,1336.0,1336.0,1219.0,0.0,117.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.024934768676757812,117,0,864,-1,0,-9,40,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,10,96.0,,117.0,864.0,0.0,117.0,0.0,,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,981.0,864.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,981.0,981.0,864.0,0.0,117.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__003__maxpcount_01,maxpcount_01,003,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.059841156005859375,117,0,1384,-1,0,-9,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,153.77777777777777,,117.0,1384.0,0.0,117.0,0.0,,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,1501.0,1384.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,1.0,1501.0,1501.0,1384.0,0.0,117.0,0.0,0.0,0.0,0.0
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.046875,0,418,798,0,-2,-8,40,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,10,99.75,209.0,,798.0,418.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.06483840942382812,0,418,798,0,-2,-8,40,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,10,99.75,209.0,,798.0,418.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.04488182067871094,0,418,798,0,-2,-8,40,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,10,99.75,209.0,,798.0,418.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.023935317993164062,0,418,798,0,-2,-8,40,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,10,99.75,209.0,,798.0,418.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1216.0,1216.0,798.0,418.0,0.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__004__maxpcount_01,maxpcount_01,004,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.07280349731445312,0,370,1158,0,-2,-8,36,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,9,144.75,185.0,,1158.0,370.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1528.0,1158.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,1528.0,1528.0,1158.0,370.0,0.0,0.0,0.0,0.0,0.0
